Date,RegionName,InventoryRaw_AllHomes,MedianListingPrice_1Bedroom,MedianListingPrice_2Bedroom,MedianListingPrice_3Bedroom,MedianListingPrice_4Bedroom,MedianListingPrice_5BedroomOrMore,MedianListingPrice_AllHomes,MedianListingPrice_CondoCoop,MedianListingPrice_DuplexTriplex,MedianListingPrice_SingleFamilyResidence,MedianPctOfPriceReduction_AllHomes,MedianPctOfPriceReduction_CondoCoop,MedianPctOfPriceReduction_SingleFamilyResidence,MedianPriceCutDollar_AllHomes,MedianPriceCutDollar_CondoCoop,MedianPriceCutDollar_SingleFamilyResidence,MedianRentalPrice_1Bedroom,MedianRentalPrice_2Bedroom,MedianRentalPrice_3Bedroom,MedianRentalPrice_4Bedroom,MedianRentalPrice_5BedroomOrMore,MedianRentalPrice_AllHomes,MedianRentalPrice_CondoCoop,MedianRentalPrice_DuplexTriplex,MedianRentalPrice_MultiFamilyResidence5PlusUnits,MedianRentalPrice_SingleFamilyResidence,MedianRentalPrice_Studio
2016-02-29,Louisiana,12884,,112000,172500,284900,389450,189900,,,189900,3.33500092648183,3.86554621848739,3.33388898149691,6000,8000,6000,895,950,1200,1560,,1200,1387.5,1100,1050,1200,1300
2016-02-29,Maine,9622,121000,163650,197000,239975,285000,197900,240000,149900,190000,4.62962962962963,3.61469879518073,4.80668344199169,7600,8000,7600,950,1195,1400,,,1450,,1172.5,1050,1400,
2016-02-29,Maryland,22368,145000,189900,309990,485013,599900,260000,215000,299900,269900,3.84763370527126,3.51724137931034,3.84911470361817,10000,7000,10000,1350,1479,1695,2000,,1650,1550,1150,1480,1700,1650
2016-02-29,Massachusetts,16980,225350,265000,325900,499000,529900,359900,319900,293900,375000,3.22684737011939,2.99300160703839,3.25806451612903,10000,10000,10000,1950,2300,2900,3600,4400,2600,2500,2350,2411,2700,1650
2016-02-29,Michigan,44824,75000,110000,149900,289500,399000,130000,169000,110000,129000,4.54545454545454,3.6340180797496,4.66461879203221,5000,5000,5000,700,925,1133.5,1850,,960,1250,750,900,925,850
2016-02-29,Minnesota,18524,135000,159900,209900,309900,419000,219900,152700,177500,224900,3.20641282565131,3.22754168908015,3.20327526962965,8000,5000,8100,1100,1295,1490,1700,2125,1400,1225,,1221.5,1495,1050
2016-02-29,Mississippi,10900,74500,90000,143000,245500,315000,155000,179450,125000,155000,3.57270453733476,3.9404583570088,3.53982300884956,5000,5000,5000,595,725,950,,,950,,650,710,950,925
2016-02-29,Missouri,30146,69900,82000,139000,249900,329900,141900,143737,129900,140400,3.64285714285715,3.2858717412331,3.68980612883052,5000,5000,5000,695,761,950,1150,895,895,900,725,780,895,850
2016-02-29,Montana,5953,163450,199900,269000,349900,457200,288800,269000,249000,289900,3.51648351648352,,3.4453781512605,10000,,10000,650,795,1200,1375,,1050,,695,750,1100,
2016-02-29,Nebraska,4676,,119999,155000,270000,339000,167000,210000,129000,165000,3.18547510328333,3.5483870967742,3.16774658027358,5000,5000,5000,746,900,1200,1300,,,,750,815,1175,625
